RADIO_REF_ID,FRAC_REF_ID,IDRADIO
1360,140,01
1361,140,02
1362,140,03
1363,140,04
1364,140,05
1365,140,06
1366,140,07
1367,140,08
1368,140,09
1369,140,10
1370,141,01
1371,141,02
1372,141,03
1373,141,04
1374,141,05
1375,141,06
1376,141,07
1377,141,08
1378,141,09
1379,141,10
1380,141,11
1381,141,12
1382,142,01
1383,142,02
1384,142,03
1385,142,04
1386,142,05
1387,142,06
1388,142,07
1389,142,08
1390,142,09
1391,143,01
1392,143,02
1393,143,03
1394,143,04
1395,143,05
1396,143,06
1397,143,07
1398,143,08
1399,143,09
1400,143,10
1401,144,01
1402,144,02
1403,144,03
1404,144,04
1405,144,05
1406,144,06
1407,144,07
1408,144,08
1409,144,09
1410,144,10
1411,145,01
1412,145,02
1413,145,03
1414,145,04
1415,145,05
1416,145,06
1417,145,07
1418,145,08
1419,145,09
1420,145,10
1421,145,11
1422,146,01
1423,146,02
1424,146,03
1425,146,04
1426,146,05
1427,146,06
1428,146,07
1429,147,01
1430,147,02
1431,147,03
1432,147,04
1433,147,05
1434,147,06
1435,147,07
1436,147,08
1437,147,09
1438,148,01
1439,148,02
1440,148,03
1441,148,04
1442,148,05
1443,148,06
1444,148,07
1445,148,08
1446,149,01
1447,149,02
1448,149,03
1449,149,04
1450,149,05
1451,149,06
1452,149,07
1453,149,08
1454,149,09
1455,149,10
1456,150,01
1457,150,02
1458,150,03
1459,150,04
1460,150,05
1461,150,06
1462,150,07
1463,150,08
1464,150,09
1465,150,10
1466,150,11
1467,151,01
1468,151,02
1469,151,03
1470,151,04
1471,151,05
1472,151,06
1473,151,07
1474,151,08
1475,151,09
1476,151,10
1477,152,01
1478,152,02
1479,152,03
1480,152,04
1481,152,05
1482,152,06
1483,152,07
1484,152,08
1485,152,09
1486,153,01
1487,153,02
1488,153,03
1489,153,04
1490,153,05
1491,153,06
1492,153,07
1493,153,08
1494,153,09
1495,153,10
1496,154,01
1497,154,02
1498,154,03
1499,154,04
1500,154,05
1501,154,06
1502,154,07
1503,154,08
1504,154,09
1505,154,10
1506,155,01
1507,155,02
1508,155,03
1509,155,04
1510,155,05
1511,155,06
1512,155,07
1513,155,08
1514,155,09
1515,156,01
1516,156,02
1517,156,03
1518,156,04
1519,156,05
1520,156,06
1521,156,07
1522,156,08
1523,156,09
1524,157,01
1525,157,02
1526,157,03
1527,157,04
1528,157,05
1529,157,06
1530,157,07
1531,157,08
1532,157,09
1533,157,10
1534,157,11
1535,158,01
1536,158,02
1537,158,03
1538,158,04
1539,158,05
1540,158,06
1541,158,07
1542,158,08
1543,159,01
1544,159,02
1545,159,03
1546,159,04
1547,159,05
1548,159,06
1549,159,07
1550,159,08
1551,159,09
1552,159,10
1553,159,11
1554,160,01
1555,160,02
1556,160,03
1557,160,04
1558,160,05
1559,160,06
1560,160,07
1561,160,08
1562,160,09
1563,160,10
1564,161,01
1565,161,02
1566,161,03
1567,161,04
1568,161,05
1569,161,06
1570,161,07
1571,161,08
1572,161,09
1573,161,10
1574,162,01
1575,162,02
1576,162,03
1577,162,04
1578,162,05
1579,162,06
1580,162,07
1581,162,08
1582,162,09
1583,163,01
1584,163,02
1585,163,03
1586,163,04
1587,163,05
1588,163,06
1589,163,07
1590,163,08
1591,163,09
1592,163,10
1593,163,11
1594,163,12
1595,163,13
1596,163,14
1597,163,15
1598,164,01
1599,164,02
1600,164,03
1601,164,04
1602,164,05
1603,164,06
1604,164,07
1605,164,08
1606,164,09
1607,164,10
1608,164,11
1609,164,12
1610,164,13
1611,165,01
1612,165,02
1613,165,03
1614,165,04
1615,165,05
1616,165,06
1617,165,07
1618,165,08
1619,165,09
1620,165,10
1621,165,11
1622,166,01
1623,166,02
1624,166,03
1625,166,04
1626,166,05
1627,166,06
1628,166,07
1629,166,08
1630,166,09
1631,167,01
1632,167,02
1633,167,03
1634,167,04
1635,167,05
1636,167,06
1637,167,07
1638,167,08
1639,167,09
1640,167,10
1641,167,11
1642,168,01
1643,168,02
1644,168,03
1645,168,04
1646,168,05
1647,168,06
1648,168,07
1649,168,08
1650,168,09
1651,168,10
1652,168,11
1653,169,01
1654,169,02
1655,169,03
1656,169,04
1657,169,05
1658,169,06
1659,170,01
1660,170,02
1661,170,03
1662,170,04
1663,170,05
1664,170,06
1665,170,07
1666,170,08
1667,170,09
1668,170,10
1669,170,11
1670,170,12
1671,170,13
1672,171,01
1673,171,02
1674,171,03
1675,171,04
1676,171,05
1677,171,06
1678,171,07
1679,171,08
1680,171,09
1681,171,10
1682,171,11
1683,171,12
1684,172,01
1685,172,02
1686,172,03
1687,172,04
1688,172,05
1689,172,06
1690,172,07
1691,172,08
1692,172,09
1693,172,10
1694,172,11
1695,172,12
1696,172,13
1697,173,01
1698,173,02
1699,173,03
1700,173,04
1701,173,05
1702,173,06
1703,173,07
1704,173,08
1705,173,09
1706,174,01
1707,174,02
1708,174,03
1709,174,04
1710,174,05
1711,174,06
1712,174,07
1713,174,08
1714,174,09
1715,174,10
1716,174,11
1717,175,01
1718,175,02
1719,175,03
1720,175,04
1721,175,05
1722,175,06
1723,175,07
1724,175,08
1725,175,09
1726,175,10
1727,175,11
1728,175,12
1729,176,01
1730,176,02
1731,176,03
1732,176,04
1733,176,05
1734,176,06
1735,176,07
1736,176,08
1737,176,09
1738,176,10
1739,177,01
