,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
208,020011709,POINT (-58.386692438611604 -34.61506650870886),Comuna 1,0013,020010013
209,020011710,POINT (-58.3844982270164 -34.614958057905305),Comuna 1,0013,020010013
210,020011711,POINT (-58.382361775528615 -34.61483280773284),Comuna 1,0013,020010013
213,020011803,POINT (-58.38822696167827 -34.61399391273524),Comuna 1,0013,020010013
214,020011804,POINT (-58.38966974347341 -34.61464175248996),Comuna 1,0013,020010013
215,020011805,POINT (-58.391028520608806 -34.614712078735),Comuna 1,0013,020010013
216,020011806,POINT (-58.39101712469217 -34.61625494462273),Comuna 1,0013,020010013
217,020011807,POINT (-58.38968975601284 -34.61617143626329),Comuna 1,0013,020010013
218,020011808,POINT (-58.38968047094448 -34.61740747647391),Comuna 1,0013,020010013
219,020011809,POINT (-58.39101024909308 -34.61748038732991),Comuna 1,0013,020010013
220,020011901,POINT (-58.388245022954855 -34.61613760039393),Comuna 1,0013,020010013
221,020011902,POINT (-58.38668912760349 -34.6161089098275),Comuna 1,0013,020010013
222,020011903,POINT (-58.385164019737005 -34.61607151616258),Comuna 1,0013,020010013
223,020011904,POINT (-58.383756156091664 -34.61599475949909),Comuna 1,0013,020010013
224,020011905,POINT (-58.38230840642289 -34.61652251771339),Comuna 1,0013,020010013
225,020011906,POINT (-58.38369524383557 -34.61717603178562),Comuna 1,0013,020010013
226,020011907,POINT (-58.38512094212283 -34.61724729294372),Comuna 1,0013,020010013
227,020011908,POINT (-58.38668627778409 -34.61728783575432),Comuna 1,0013,020010013
228,020011909,POINT (-58.38825719424837 -34.61733124951115),Comuna 1,0013,020010013
229,020012001,POINT (-58.390996703943564 -34.61858313443546),Comuna 1,0017,020010017
230,020012002,POINT (-58.38887552043814 -34.61843573434041),Comuna 1,0017,020010017
231,020012003,POINT (-58.38812509323804 -34.61942087228714),Comuna 1,0017,020010017
232,020012004,POINT (-58.38955515179463 -34.61950832780246),Comuna 1,0017,020010017
233,020012005,POINT (-58.3909373550603 -34.61961486472199),Comuna 1,0017,020010017
234,020012006,POINT (-58.3908504150275 -34.62085564580465),Comuna 1,0017,020010017
